,StationID,Date,StationName,AverageTemp,MaxGust,MaxRelHumidity,ProvinceShort
12995,655,2019-05-13,VANDERHOOF,11.0,,,BC
12996,617,2017-09-25,MCLEESE LAKE GRANITE MT,3.8,,,BC
12997,31468,2012-06-29,PEORIA AGDM,16.6,37.0,93.0,AB
12998,3945,1995-11-13,RAINY RIVER,-9.5,,,ON
12999,3880,2013-06-30,ISLAND LAKE A,20.3,0.0,,MB
13000,1596,2011-08-17,SHINGLE POINT A,6.8,39.0,,YT
13001,31468,2011-12-26,PEORIA AGDM,-1.0,46.0,93.0,AB
13002,4132,1999-06-21,SUDBURY A,19.1,0.0,84.0,ON
13003,10881,2015-06-22,OAKPOINT MARINE,17.6,44.0,,MB
13004,31468,2012-04-28,PEORIA AGDM,6.4,0.0,,AB
13005,3945,1994-01-13,RAINY RIVER,-28.5,,,ON
13006,617,2017-08-22,MCLEESE LAKE GRANITE MT,19.5,,,BC
13007,52758,2017-05-14,GILLAM A,2.2,32.0,,MB
13008,1518,2004-12-26,BEAVER CREEK A,-26.8,,,YT
13009,655,2010-06-19,VANDERHOOF,16.5,,,BC
13010,3880,2013-08-30,ISLAND LAKE A,13.2,41.0,,MB
13011,3394,2002-05-13,STONY RAPIDS A,2.9,0.0,,SK
13012,1518,2005-01-03,BEAVER CREEK A,-21.5,,,YT
13013,470,2018-09-05,HOUSTON,12.5,,,BC
13014,650,2017-06-24,SPOKIN LAKE 4E,12.5,,,BC
13015,50820,2017-11-07,WILLIAMS LAKE A,-6.3,37.0,,BC
13016,29555,2001-10-05,WASKWATIM LAKE,-0.9,,,MB
13017,6108,2005-08-29,LAKE ALMA,21.5,,,SK
13018,50622,2019-07-10,HIGH LEVEL A,16.3,,,AB
13019,10941,2006-07-22,KEY LAKE A,,,,SK
13020,3945,1996-06-01,RAINY RIVER,17.5,,,ON
13021,1525,2005-01-18,BURWASH A,-39.5,,,YT
13022,1398,2016-05-06,CHARLIE LAKE,9.8,,,BC
13023,1043,2003-10-26,OSOYOOS WEST,8.8,,,BC
13024,1106,2017-08-28,CASTLEGAR BCHPA DAM,23.3,,,BC
13025,10963,2017-10-20,CAP-ROUGE,8.9,69.0,,QC
13026,30494,2021-05-14,TATLAYOKO LAKE RCS,9.0,,97.0,BC
13027,655,2019-06-28,VANDERHOOF,15.8,,,BC
13028,52602,2022-08-23,FORT GOOD HOPE A,14.7,,77.0,NT
13029,52758,2017-06-25,GILLAM A,11.8,52.0,,MB
13030,30494,2017-07-16,TATLAYOKO LAKE RCS,11.9,39.0,,BC
13031,10183,2011-11-23,RED EARTH,-15.8,0.0,90.0,AB
13032,557,2004-07-25,FRASER LAKE NORTH SHORE,16.5,,,BC
13033,655,2010-04-02,VANDERHOOF,2.3,,,BC
13034,47147,2021-11-05,LA CRETE AGCM,1.0,,,AB
13035,27339,2007-10-05,MACMILLAN PASS,-10.0,0.0,93.0,YT
13036,1586,1995-08-03,PELLY RANCH,15.3,,,YT
13037,1613,2013-06-17,TUCHITUA,13.8,,,YT
13038,3853,2021-07-30,MCCREARY,24.1,50.0,90.0,MB
13039,3945,1992-01-30,RAINY RIVER-COOPER,-2.0,,,ON
13040,10188,2015-05-31,SWAN RIVER RCS,10.1,35.0,,MB
13041,30494,2021-06-02,TATLAYOKO LAKE RCS,16.3,46.0,81.0,BC
13042,2538,2004-06-29,HUCKLEBERRY LO,14.0,,,AB
13043,3945,1991-09-28,RAINY RIVER-COOPER,5.8,,,ON
13044,1518,2004-11-07,BEAVER CREEK A,-26.8,,,YT
13045,266,2017-08-20,PORT ALBERNI COX LAKE,21.0,,,BC
13046,3923,1988-07-16,RED LAKE A,18.3,31.0,,ON
13047,3667,2014-08-21,ST LABRE,,,,MB
13048,3945,1995-10-29,RAINY RIVER,-1.0,,,ON
13049,10188,2015-06-30,SWAN RIVER RCS,18.8,0.0,,MB
13050,51538,2021-09-28,FORT ST JAMES AUTO,7.9,35.0,90.0,BC
