x,y,MAX_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,SPEED_MAX_GUST,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE
-122.48861111111111,52.54138888888889,,2013-01-05 00:00:00,CASTLE ROCK 6 NORTH,,-4.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2007-09-01 00:00:00,CASTLE ROCK 6 NORTH,,11.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2006-03-25 00:00:00,CASTLE ROCK 6 NORTH,,4.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2001-12-20 00:00:00,CASTLE ROCK 6 NORTH,,-10.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-12-14 00:00:00,CASTLE ROCK 6 NORTH,,-17.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-09-10 00:00:00,CASTLE ROCK 6 NORTH,,15.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2005-01-24 00:00:00,CASTLE ROCK 6 NORTH,,5.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-05-08 00:00:00,CASTLE ROCK 6 NORTH,,8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-12-15 00:00:00,CASTLE ROCK 6 NORTH,,-5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2011-07-23 00:00:00,CASTLE ROCK 6 NORTH,,16.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-03-06 00:00:00,CASTLE ROCK 6 NORTH,,0,109A4NG,BC
-122.48861111111111,52.54138888888889,,2007-10-26 00:00:00,CASTLE ROCK 6 NORTH,,2.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-03-07 00:00:00,CASTLE ROCK 6 NORTH,,-3.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2005-01-31 00:00:00,CASTLE ROCK 6 NORTH,,6.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-11-22 00:00:00,CASTLE ROCK 6 NORTH,,0.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2004-06-04 00:00:00,CASTLE ROCK 6 NORTH,,19,109A4NG,BC
-122.48861111111111,52.54138888888889,,2009-09-21 00:00:00,CASTLE ROCK 6 NORTH,,14.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-09-07 00:00:00,CASTLE ROCK 6 NORTH,,14.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-07-28 00:00:00,CASTLE ROCK 6 NORTH,,17.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-05-31 00:00:00,CASTLE ROCK 6 NORTH,,14.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-05-14 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-06-13 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-04-12 00:00:00,CASTLE ROCK 6 NORTH,,5.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2004-12-08 00:00:00,CASTLE ROCK 6 NORTH,,-11,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-12-08 00:00:00,CASTLE ROCK 6 NORTH,,-1.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2014-03-31 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2002-06-29 00:00:00,CASTLE ROCK 6 NORTH,,18.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2011-10-30 00:00:00,CASTLE ROCK 6 NORTH,,8.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-02-10 00:00:00,CASTLE ROCK 6 NORTH,,-4.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2013-08-19 00:00:00,CASTLE ROCK 6 NORTH,,16.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-09-01 00:00:00,CASTLE ROCK 6 NORTH,,8.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-04-13 00:00:00,CASTLE ROCK 6 NORTH,,3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2010-07-29 00:00:00,CASTLE ROCK 6 NORTH,,21,109A4NG,BC
-122.48861111111111,52.54138888888889,,1993-03-31 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-04-07 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1993-07-04 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-06-30 00:00:00,CASTLE ROCK 6 NORTH,,16.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2002-12-30 00:00:00,CASTLE ROCK 6 NORTH,,-4.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-05-29 00:00:00,CASTLE ROCK 6 NORTH,,16.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2012-03-28 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1993-10-06 00:00:00,CASTLE ROCK 6 NORTH,,4.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,2007-01-11 00:00:00,CASTLE ROCK 6 NORTH,,-25.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-09-07 00:00:00,CASTLE ROCK 6 NORTH,,11,109A4NG,BC
-122.48861111111111,52.54138888888889,,1998-08-31 00:00:00,CASTLE ROCK 6 NORTH,,17.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2000-05-28 00:00:00,CASTLE ROCK 6 NORTH,,9.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-10-18 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
-122.48861111111111,52.54138888888889,,1993-11-21 00:00:00,CASTLE ROCK 6 NORTH,,-11.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,2011-10-23 00:00:00,CASTLE ROCK 6 NORTH,,4.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,2003-11-28 00:00:00,CASTLE ROCK 6 NORTH,,1.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-09-09 00:00:00,CASTLE ROCK 6 NORTH,,11.5,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-08-16 00:00:00,CASTLE ROCK 6 NORTH,,14.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1996-08-17 00:00:00,CASTLE ROCK 6 NORTH,,12.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1995-05-01 00:00:00,CASTLE ROCK 6 NORTH,,11,109A4NG,BC
-122.48861111111111,52.54138888888889,,1997-06-28 00:00:00,CASTLE ROCK 6 NORTH,,13.3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1994-02-21 00:00:00,CASTLE ROCK 6 NORTH,,-14.8,109A4NG,BC
-122.48861111111111,52.54138888888889,,1999-11-06 00:00:00,CASTLE ROCK 6 NORTH,,3,109A4NG,BC
-122.48861111111111,52.54138888888889,,1992-01-12 00:00:00,CASTLE ROCK 6 NORTH,,,109A4NG,BC
