x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MEAN_TEMPERATURE,PROVINCE_CODE,STATION_NAME,MAX_REL_HUMIDITY,LOCAL_DATE
-116.336945,51.35612,117R00H,,5.5,BC,YOHO NP OHARA LAKE,,1988-07-16 00:00:00
-116.336945,51.35612,117R00H,,7,BC,YOHO NP OHARA LAKE,,1988-07-17 00:00:00
-116.336945,51.35612,117R00H,,7.8,BC,YOHO NP OHARA LAKE,,1988-07-18 00:00:00
-116.336945,51.35612,117R00H,,10.5,BC,YOHO NP OHARA LAKE,,1988-07-19 00:00:00
-116.336945,51.35612,117R00H,,12,BC,YOHO NP OHARA LAKE,,1988-07-20 00:00:00
-116.336945,51.35612,117R00H,,14.3,BC,YOHO NP OHARA LAKE,,1988-07-21 00:00:00
-116.336945,51.35612,117R00H,,12.8,BC,YOHO NP OHARA LAKE,,1988-07-22 00:00:00
-116.336945,51.35612,117R00H,,8.5,BC,YOHO NP OHARA LAKE,,1988-07-23 00:00:00
-116.336945,51.35612,117R00H,,13.3,BC,YOHO NP OHARA LAKE,,1988-07-24 00:00:00
-116.336945,51.35612,117R00H,,13.3,BC,YOHO NP OHARA LAKE,,1988-07-25 00:00:00
-116.336945,51.35612,117R00H,,14.3,BC,YOHO NP OHARA LAKE,,1988-07-26 00:00:00
-116.336945,51.35612,117R00H,,14.5,BC,YOHO NP OHARA LAKE,,1988-07-27 00:00:00
-116.336945,51.35612,117R00H,,11.8,BC,YOHO NP OHARA LAKE,,1988-07-28 00:00:00
-116.336945,51.35612,117R00H,,12.8,BC,YOHO NP OHARA LAKE,,1988-07-29 00:00:00
-116.336945,51.35612,117R00H,,13.3,BC,YOHO NP OHARA LAKE,,1988-07-30 00:00:00
-116.336945,51.35612,117R00H,,9.8,BC,YOHO NP OHARA LAKE,,1988-07-31 00:00:00
-116.336945,51.35612,117R00H,,2.5,BC,YOHO NP OHARA LAKE,,1988-08-01 00:00:00
-116.336945,51.35612,117R00H,,7.8,BC,YOHO NP OHARA LAKE,,1988-08-02 00:00:00
-116.336945,51.35612,117R00H,,8.8,BC,YOHO NP OHARA LAKE,,1988-08-03 00:00:00
-116.336945,51.35612,117R00H,,12,BC,YOHO NP OHARA LAKE,,1988-08-04 00:00:00
-116.336945,51.35612,117R00H,,13.5,BC,YOHO NP OHARA LAKE,,1988-08-05 00:00:00
-116.336945,51.35612,117R00H,,6.3,BC,YOHO NP OHARA LAKE,,1988-08-06 00:00:00
-116.336945,51.35612,117R00H,,7.8,BC,YOHO NP OHARA LAKE,,1988-08-07 00:00:00
-116.336945,51.35612,117R00H,,6.5,BC,YOHO NP OHARA LAKE,,1988-08-08 00:00:00
-116.336945,51.35612,117R00H,,9.3,BC,YOHO NP OHARA LAKE,,1988-08-09 00:00:00
-116.336945,51.35612,117R00H,,7.5,BC,YOHO NP OHARA LAKE,,1988-08-10 00:00:00
-116.336945,51.35612,117R00H,,10.3,BC,YOHO NP OHARA LAKE,,1988-08-11 00:00:00
-116.336945,51.35612,117R00H,,10.3,BC,YOHO NP OHARA LAKE,,1988-08-12 00:00:00
-116.336945,51.35612,117R00H,,12.3,BC,YOHO NP OHARA LAKE,,1988-08-13 00:00:00
-116.336945,51.35612,117R00H,,12,BC,YOHO NP OHARA LAKE,,1988-08-14 00:00:00
-116.336945,51.35612,117R00H,,12,BC,YOHO NP OHARA LAKE,,1988-08-15 00:00:00
-116.336945,51.35612,117R00H,,8.5,BC,YOHO NP OHARA LAKE,,1988-08-16 00:00:00
-116.336945,51.35612,117R00H,,7.3,BC,YOHO NP OHARA LAKE,,1988-08-17 00:00:00
-116.336945,51.35612,117R00H,,5.8,BC,YOHO NP OHARA LAKE,,1988-08-18 00:00:00
-116.336945,51.35612,117R00H,,5.5,BC,YOHO NP OHARA LAKE,,1988-08-19 00:00:00
-116.336945,51.35612,117R00H,,5.3,BC,YOHO NP OHARA LAKE,,1988-08-20 00:00:00
-116.336945,51.35612,117R00H,,7.3,BC,YOHO NP OHARA LAKE,,1988-08-21 00:00:00
-116.336945,51.35612,117R00H,,7.8,BC,YOHO NP OHARA LAKE,,1988-08-22 00:00:00
-116.336945,51.35612,117R00H,,11.3,BC,YOHO NP OHARA LAKE,,1988-08-23 00:00:00
-116.336945,51.35612,117R00H,,14,BC,YOHO NP OHARA LAKE,,1988-08-24 00:00:00
-116.336945,51.35612,117R00H,,14,BC,YOHO NP OHARA LAKE,,1988-08-25 00:00:00
-116.336945,51.35612,117R00H,,10.5,BC,YOHO NP OHARA LAKE,,1988-08-26 00:00:00
-116.336945,51.35612,117R00H,,12,BC,YOHO NP OHARA LAKE,,1988-08-27 00:00:00
-116.336945,51.35612,117R00H,,13,BC,YOHO NP OHARA LAKE,,1988-08-28 00:00:00
-116.336945,51.35612,117R00H,,12.8,BC,YOHO NP OHARA LAKE,,1988-08-29 00:00:00
-116.336945,51.35612,117R00H,,6.8,BC,YOHO NP OHARA LAKE,,1988-08-30 00:00:00
-116.336945,51.35612,117R00H,,7.5,BC,YOHO NP OHARA LAKE,,1988-08-31 00:00:00
-116.336945,51.35612,117R00H,,10.3,BC,YOHO NP OHARA LAKE,,1988-09-01 00:00:00
-116.336945,51.35612,117R00H,,14.8,BC,YOHO NP OHARA LAKE,,1988-09-02 00:00:00
-116.336945,51.35612,117R00H,,15.8,BC,YOHO NP OHARA LAKE,,1988-09-03 00:00:00
-116.336945,51.35612,117R00H,,16.3,BC,YOHO NP OHARA LAKE,,1988-09-04 00:00:00
-116.336945,51.35612,117R00H,,15,BC,YOHO NP OHARA LAKE,,1988-09-05 00:00:00
-116.336945,51.35612,117R00H,,12.5,BC,YOHO NP OHARA LAKE,,1988-09-06 00:00:00
-116.336945,51.35612,117R00H,,2.8,BC,YOHO NP OHARA LAKE,,1988-09-07 00:00:00
-116.336945,51.35612,117R00H,,2.8,BC,YOHO NP OHARA LAKE,,1988-09-08 00:00:00
-116.336945,51.35612,117R00H,,5,BC,YOHO NP OHARA LAKE,,1988-09-09 00:00:00
-116.336945,51.35612,117R00H,,0.3,BC,YOHO NP OHARA LAKE,,1988-09-10 00:00:00
-116.336945,51.35612,117R00H,,3,BC,YOHO NP OHARA LAKE,,1988-09-11 00:00:00
-116.336945,51.35612,117R00H,,9,BC,YOHO NP OHARA LAKE,,1988-09-12 00:00:00
-116.336945,51.35612,117R00H,,9.5,BC,YOHO NP OHARA LAKE,,1988-09-13 00:00:00
-116.336945,51.35612,117R00H,,10.3,BC,YOHO NP OHARA LAKE,,1988-09-14 00:00:00
