x,y,PROVINCE_CODE,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1997-06-05 00:00:00,14.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2022-02-20 00:00:00,-14.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2013-10-03 00:00:00,7.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1996-01-04 00:00:00,-19.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-10-12 00:00:00,10.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-12-12 00:00:00,-8.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-06-12 00:00:00,16.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1996-02-11 00:00:00,-5.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-12-13 00:00:00,-5.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1990-05-11 00:00:00,8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-05-17 00:00:00,18.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1995-01-20 00:00:00,,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2013-11-08 00:00:00,-2.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2018-01-22 00:00:00,-7.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1987-05-15 00:00:00,17,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1994-04-27 00:00:00,-1.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-01-12 00:00:00,-7.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-01-07 00:00:00,-17.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1994-07-16 00:00:00,16.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-06-20 00:00:00,16.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-07-16 00:00:00,23,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1988-11-24 00:00:00,-1,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-12-24 00:00:00,-24,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1992-11-28 00:00:00,-8.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-10-03 00:00:00,0.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2008-10-19 00:00:00,10.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2007-03-13 00:00:00,2.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-05-19 00:00:00,11.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2013-10-09 00:00:00,10.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-08-09 00:00:00,16.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-04-15 00:00:00,8.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2005-07-21 00:00:00,18.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2007-10-05 00:00:00,9.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-03-07 00:00:00,-19.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-10-31 00:00:00,8.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2009-03-26 00:00:00,-8.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-04-04 00:00:00,-0.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-09-29 00:00:00,6.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2021-07-31 00:00:00,18.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1995-10-19 00:00:00,1.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-07-30 00:00:00,20.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2010-04-07 00:00:00,1.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-09-20 00:00:00,17.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2007-10-08 00:00:00,8.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-02-21 00:00:00,-1.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-07-01 00:00:00,15.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-06-12 00:00:00,15,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1992-05-30 00:00:00,18,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-11-30 00:00:00,-11.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1992-01-09 00:00:00,-18.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1994-04-03 00:00:00,-5.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2018-12-27 00:00:00,-11,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-01-15 00:00:00,-16,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1995-12-12 00:00:00,-30.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2013-09-07 00:00:00,20.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2015-07-28 00:00:00,25.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-06-17 00:00:00,26.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-07-11 00:00:00,21,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-08-30 00:00:00,12.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2022-01-04 00:00:00,-19,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2008-12-29 00:00:00,-19.5,,,5031320
